route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
21-VIC,4428,11333455:10000227:11462213,Downtown - to 7 UVic,23385,11462213,1
21-VIC,4406,11322591:10000304:11463163,Downtown - to 7 UVic,23385,11463163,1
21-VIC,4459,11325115:10000309:11461852,Downtown - to 7 UVic,23385,11461852,1
32-VIC,4405,11084662:10000339:11464107,Royal Oak Exch,18626,11464107,1
32-VIC,4450,11084662:10000339:11464979,Royal Oak Exch,18626,11464979,1
21-VIC,4459,11325043:10000343:11462979,Downtown - to 7 UVic,23385,11462979,1
81-VIC,4459,11324903:10000357:11463160,Brentwood via Lochside,26378,11463160,1
2-VIC,4406,11321338:10000372:11463857,James Bay - Fisherman's Wharf,36544,11463857,1
60-VIC,3771,11318516:10000426:11464547,Royal Bay Exch via Lagoon,18644,11464547,1
21-VIC,3771,11317421:10000471:11463464,Downtown - to 7 UVic,23385,11463464,1
21-VIC,4428,11333694:10000551:11464650,Downtown - to 7 UVic,23385,11464650,1
10-VIC,3771,11318448:10000732:11460877,James Bay via Vic West,18701,11460877,1
10-VIC,3771,11318416:10000736:11459525,James Bay via Vic West,18701,11459525,1
60-VIC,4428,11333851:10000750:11463212,Royal Bay Exch via Lagoon,18644,11463212,1
32-VIC,3771,11319015:10000756:11460058,Royal Oak Exch,18626,11460058,1
21-VIC,4450,11086549:10000762:11460882,Downtown - to 7 UVic,23385,11460882,1
21-VIC,4405,11086549:10000762:11461238,Downtown - to 7 UVic,23385,11461238,1
28-VIC,4450,11086397:10000860:11464233,to McKenzie only via Shelbourne,36384,11464233,1
28-VIC,4405,11086397:10000860:11464358,to McKenzie only via Shelbourne,36384,11464358,1
21-VIC,4428,11333464:10000963:11464220,Downtown - to 7 UVic,23385,11464220,1
27-VIC,4450,11086363:10000971:11460292,to McKenzie only via Shelbourne,19182,11460292,1
27-VIC,4405,11086363:10000971:11464757,to McKenzie only via Shelbourne,19182,11464757,1
21-VIC,3771,11317434:10000992:11464040,Downtown - to 7 UVic,23429,11464040,1
52-VIC,4405,11085626:10001001:11460953,Langford Exch via Royal Bay,40066,11460953,1
60-VIC,4405,11085825:10001007:11460548,Royal Bay Exch via Lagoon,40355,11460548,1
60-VIC,4450,11085825:10001007:11461325,Royal Bay Exch via Lagoon,40355,11461325,1
21-VIC,4406,11322526:10001116:11462889,Downtown - to 7 UVic,23385,11462889,1
21-VIC,4450,11086555:10001197:11459869,Downtown - to 7 UVic,23385,11459869,1
21-VIC,4405,11086555:10001197:11464699,Downtown - to 7 UVic,23385,11464699,1
2-VIC,3771,11319327:10001209:11462522,James Bay - Fisherman's Wharf,36544,11462522,1
2-VIC,4450,11084961:10001218:11460945,James Bay - Fisherman's Wharf,36544,11460945,1
2-VIC,4405,11084961:10001218:11461867,James Bay - Fisherman's Wharf,36544,11461867,1
2-VIC,4450,11084974:10001258:11460945,James Bay - Fisherman's Wharf,36544,11460945,1
2-VIC,4405,11084974:10001258:11461867,James Bay - Fisherman's Wharf,36544,11461867,1
2-VIC,3771,11319283:10001274:11464044,James Bay - Fisherman's Wharf,36544,11464044,1
21-VIC,4428,11333443:10001353:11460272,Downtown - to 7 UVic,23385,11460272,1
